Nivel_educacao,Avaliacao_desempenho,Experiencia_cargos_lideranca,Habilidades_competencias,Treinamento_lideranca,Feedback_supervisores,Satisfacao_trabalho,Lider,Coach,Empodera,Sucesso_membros,Orientado_resultados,Comunicador,Desenvolvimento_carreira,Estrategia_equipe,Habilidades_tecnicas,Idade_18-29,Idade_30-39,Idade_40-49,Idade_50-59,Idade_60-69,Idade_70-79,Idade_80-89,Indice_lideranca,Indice_competencias,Engajamento_desenvolvimento
1,4.0,0.0,6.0,1,0.4508566826176089,4.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0.4836188942058697,5.0,1.816952227539203
4,4.0,0.0,8.0,0,0.096664767165671,0.0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0.03222158905522367,6.0,1.365554922388557
2,2.0,0.0,2.0,0,0.3351531426223206,4.0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0.1117177142074402,2.0,0.7783843808741069
4,5.0,0.0,2.0,1,0.506880444032203,4.0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0.5022934813440677,3.5,2.168960148010734
2,4.0,0.0,7.0,0,0.7327402143357924,0.0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0.2442467381119308,5.5,1.5775800714452641
4,1.0,0.0,3.0,0,0.1980771200586317,4.0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0.06602570668621056,2.0,0.3993590400195439
2,5.0,0.0,7.0,1,0.2180921284064658,4.0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0.40603070946882197,6.0,2.0726973761354888
2,5.0,0.0,4.0,1,0.6315778405210494,4.0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0.5438592801736831,4.5,2.2105259468403498
2,3.0,0.0,3.0,0,0.4820948672323478,1.0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0.16069828907744926,3.0,1.1606982890774493
2,3.0,0.0,3.0,0,0.8361348687787407,4.0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0.2787116229262469,3.0,1.278711622926247
2,3.0,0.0,7.0,0,0.4990833010645251,0.0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0.1663611003548417,5.0,1.1663611003548418
2,2.0,0.0,5.0,0,0.6524993806091711,5.0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0.21749979353639037,3.5,0.884166460203057
2,4.0,0.0,6.0,0,0.6567750416599722,4.0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0.21892501388665742,5.0,1.5522583472199907
2,3.0,0.0,8.0,0,0.8036119429560182,3.0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0.2678706476520061,5.5,1.267870647652006
4,0.0,0.0,5.0,1,0.6381394884910242,3.0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0.5460464961636747,2.5,0.5460464961636747
0,3.0,0.0,2.0,1,0.0648098256538625,5.0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0.3549366085512875,2.5,1.3549366085512873
2,4.0,0.0,2.0,1,0.3421729826868401,4.0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0.4473909942289467,3.0,1.78072432756228
0,3.0,0.0,10.0,1,0.98931618350921,2.0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0.66310539450307,6.5,1.66310539450307
2,2.0,0.0,2.0,0,0.1965102888079187,5.0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0.06550342960263957,2.0,0.7321700962693063
2,1.0,0.0,9.0,1,0.5867290784146886,1.0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0.5289096928048962,5.0,0.8622430261382296
1,4.0,0.0,0.0,0,0.586558560747354,0.0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0.195519520249118,2.0,1.5288528535824515
1,1.0,0.0,10.0,0,0.3722702581266772,0.0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0.12409008604222573,5.5,0.4574234193755591
1,1.0,0.0,9.0,1,0.0802285627177057,0.0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0.3600761875725686,5.0,0.6934095209059019
0,0.0,0.0,0.0,0,0.3616649025360949,3.0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0.12055496751203164,0.0,0.12055496751203164
1,4.0,0.0,3.0,0,0.1820675115742895,1.0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0.060689170524763164,3.5,1.3940225038580965
1,4.0,0.0,2.0,1,0.96086281628198,4.0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0.65362093876066,3.0,1.9869542720939932
1,1.0,0.0,4.0,1,0.7150318415582864,4.0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0.5716772805194288,2.5,0.9050106138527622
1,1.0,0.0,8.0,1,0.7493831543598622,2.0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0.583127718119954,4.5,0.9164610514532874
1,1.0,0.0,7.0,1,0.4359692660003781,4.0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0.4786564220001261,4.0,0.8119897553334594
1,5.0,0.0,8.0,1,0.1099648281317061,1.0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0.369988276043902,6.5,2.0366549427105687
