Idade;Nivel_educacao;Avaliacao_desempenho;Experiencia_cargos_lideranca;Habilidades_competencias;Treinamento_lideranca;Feedback_supervisores;Satisfacao_trabalho;Lider;Coach;Empodera;Sucesso_membros;Orientado_resultados;Comunicador;Desenvolvimento_carreira;Estrategia_equipe;Habilidades_tecnicas
56.0;Especialização;4.0;0.0;6.0;S;0.4508566826176089;4.0;N;N;S;N;N;N;N;S;N
69.0;Superior;4.0;0.0;8.0;N;0.09666476716567107;0.0;N;N;S;N;S;N;N;S;N
46.0;Médio;2.0;0.0;2.0;N;0.33515314262232065;4.0;N;N;S;N;S;N;N;S;N
32.0;Superior;5.0;0.0;2.0;S;0.506880444032203;4.0;N;N;S;N;S;N;N;S;N
60.0;Médio;4.0;0.0;7.0;N;0.7327402143357924;0.0;N;N;S;N;S;N;N;S;N
25.0;Superior;1.0;0.0;3.0;N;0.19807712005863176;4.0;N;N;S;N;S;N;N;S;N
38.0;Médio;5.0;0.0;7.0;S;0.21809212840646586;4.0;N;N;S;N;S;N;N;S;N
56.0;Médio;5.0;0.0;4.0;S;0.6315778405210494;4.0;N;N;S;N;S;N;N;S;N
75.0;Médio;3.0;0.0;2.0;D;0.3824577834543116;3.0;N;N;S;N;S;N;N;S;N
36.0;Médio;3.0;0.0;3.0;N;0.48209486723234785;1.0;N;N;S;N;S;N;N;S;N
40.0;Médio;3.0;0.0;3.0;N;0.8361348687787407;4.0;N;N;S;N;S;N;N;S;N
28.0;Médio;3.0;0.0;7.0;N;0.49908330106452514;0.0;N;N;S;N;S;N;N;S;N
28.0;Médio;2.0;0.0;5.0;n;0.6524993806091711;5.0;N;N;S;N;S;N;N;S;N
41.0;Médio;4.0;0.0;6.0;N;0.6567750416599722;4.0;N;N;S;N;S;N;N;S;N
70.0;Médio;3.0;0.0;8.0;N;0.8036119429560182;3.0;N;N;S;N;S;N;N;S;N
53.0;Superior;0.0;0.0;5.0;S;0.6381394884910242;3.0;N;N;S;N;S;N;N;S;N
57.0;Doutorado;3.0;0.0;2.0;S;0.06480982565386251;5.0;N;N;S;N;S;N;N;S;N
41.0;Médio;4.0;0.0;2.0;S;0.34217298268684015;4.0;N;N;S;N;S;N;N;S;N
20.0;Doutorado;3.0;0.0;10.0;S;0.98931618350921;2.0;N;N;S;N;S;N;N;S;N
39.0;Médio;2.0;0.0;2.0;n;0.19651028880791876;5.0;N;N;S;N;S;N;N;S;N
70.0;Médio;1.0;0.0;9.0;S;0.5867290784146886;1.0;N;N;S;N;S;N;N;S;N
19.0;Especialização;1.0;0.0;1.0;S;;0.0;N;N;S;N;S;N;N;S;N
41.0;Especialização;4.0;0.0;0.0;N;0.586558560747354;0.0;N;N;S;N;S;N;N;S;N
61.0;Especialização;1.0;0.0;10.0;N;0.37227025812667724;0.0;N;N;S;N;S;N;N;S;N
47.0;Especialização;1.0;0.0;9.0;S;0.08022856271770573;0.0;N;N;S;N;S;N;N;S;N
55.0;Doutorado;0.0;0.0;0.0;N;0.36166490253609496;3.0;N;S;S;N;S;N;N;S;N
19.0;Especialização;4.0;0.0;3.0;N;0.18206751157428958;1.0;N;S;S;N;S;N;N;S;N
38.0;Especialização;4.0;0.0;2.0;S;0.96086281628198;4.0;N;S;S;S;S;N;N;S;N
50.0;Especialização;1.0;;4.0;S;0.7150318415582864;4.0;N;S;S;S;S;N;N;S;N
29.0;Especialização;1.0;0.0;8.0;S;0.7493831543598622;2.0;N;S;S;S;S;N;N;S;N
75.0;Especialização;1.0;0.0;7.0;S;0.4359692660003781;4.0;N;S;S;S;S;N;N;S;N
39.0;Especialização;5.0;0.0;8.0;S;0.10996482813170616;1.0;N;S;S;S;S;N;N;S;N
61.0;Médio;2.0;0.0;4.0;N;0.266716486167321;4.0;N;S;S;S;S;N;N;S;N
42.0;Especialização;3.0;0.0;7.0;N;0.25971110406633013;3.0;N;S;N;S;S;S;N;S;N
66.0;Especialização;2.0;0.0;3.0;S;;5.0;N;S;N;S;S;S;N;S;N
44.0;Especialização;4.0;0.0;4.0;S;0.46097978669335715;4.0;N;S;N;S;N;S;N;S;N
59.0;Especialização;0.0;0.0;2.0;N;0.4334082173718403;0.0;N;S;N;S;N;S;N;S;N
45.0;Médio;3.0;0.0;4.0;N;0.495977466692741;0.0;N;S;N;S;N;S;N;S;N
