Nivel_educacao,Avaliacao_desempenho,Experiencia_cargos_lideranca,Habilidades_competencias,Treinamento_lideranca,Feedback_supervisores,Satisfacao_trabalho,Coach,Empodera,Sucesso_membros,Orientado_resultados,Comunicador,Desenvolvimento_carreira,Estrategia_equipe,Habilidades_tecnicas,Idade_18-29,Idade_30-39,Idade_40-49,Idade_50-59,Idade_60-69,Idade_70-79,Idade_80-89,Indice_lideranca,Indice_competencias,Engajamento_desenvolvimento
0.0,0.6000000000000001,0.0,0.5,0.0,0.2990229326308479,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0994834543655094,0.5333333333333333,0.4712208155953856
0.5,0.8,1.0,0.2,1.0,0.6670149371674975,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8895686725325952,0.4,0.8098968782189685
0.5,1.0,0.0,0.5,0.0,0.3784097700795392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1259567523894609,0.6666666666666666,0.7686421039298356
0.0,0.4,0.0,0.0,0.0,0.4962808186667197,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1652634623923738,0.1333333333333333,0.3563812649156141
0.25,0.4,0.0,0.3,1.0,0.0390513429014736,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3464752435190169,0.3333333333333333,0.4340590788042914
1.0,0.2,0.0,1.0,1.0,0.5877542960483265,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5294523877422925,0.7333333333333333,0.3694569755859992
0.5,0.8,0.0,0.1,0.0,0.1350542874210761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0448044804861511,0.3333333333333333,0.5908189093407383
0.25,0.8,0.0,0.2,1.0,0.4285431409214131,0.4,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4763599042290596,0.4,0.7758084375034979
0.5,1.0,1.0,0.4,1.0,0.752929146656618,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9182186672343956,0.6,0.9652145707273788
0.25,0.4,0.0,0.2,0.0,0.2484396895740542,0.4,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0826153524043253,0.2666666666666666,0.3209535213881891
1.0,0.0,0.0,0.4,1.0,0.9099984539873602,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6369118344687218,0.2666666666666666,0.2724836346093744
0.25,0.2,1.0,0.1,0.0,0.6244593188475975,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.541692489990591,0.1333333333333333,0.2316671354116486
0.25,0.2,1.0,0.6000000000000001,1.0,0.2173097721557812,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7396045318907676,0.4666666666666667,0.3165036436202738
0.75,0.8,0.0,0.3,0.0,0.7601191235782955,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2532461847243046,0.4666666666666667,0.6801690377252416
0.5,0.0,0.0,0.6000000000000001,1.0,0.2448319302167715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.415097334921292,0.4,0.1774011553879278
0.25,0.8,1.0,0.3,0.0,0.6449264609353577,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5485177115210246,0.4666666666666667,0.6637027791857667
1.0,0.6000000000000001,1.0,0.2,1.0,0.8523498479350459,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9513727005638524,0.3333333333333333,0.6933529933496442
0.25,1.0,0.0,0.7000000000000001,1.0,0.0829908729293038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3611278523247389,0.8,0.8694499919114753
0.5,0.2,0.0,0.4,1.0,0.9039764281676153,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6349036566730377,0.3333333333333333,0.4146594673412274
0.0,0.0,0.0,0.0,0.0,0.8854489987845979,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2950402055503074,0.0,0.1259377500104887
0.25,0.0,0.0,1.0,1.0,0.2590605431739365,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4198421808351494,0.6666666666666666,0.1794350698251436
0.5,0.6000000000000001,1.0,0.9,1.0,0.3094661619056081,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7703361197592905,0.8,0.6157502804170264
1.0,0.0,0.0,0.6000000000000001,0.0,0.2527477329860873,0.4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0840519648304165,0.4,0.0354960293152689
0.0,0.0,0.0,0.3,0.0,0.4859467799628139,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1618173484622609,0.2,0.0688307549008774
0.25,0.2,0.0,0.4,0.0,0.0125792563952314,0.8,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0039624706386692,0.3333333333333333,0.1442017094693621
0.0,1.0,0.0,0.2,1.0,0.6230016502492072,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5412063981337354,0.4666666666666667,0.9466420358267608
0.75,1.0,0.0,1.0,0.0,0.6662873127508152,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2219558906151787,1.0,0.8097928676727251
0.25,0.8,0.0,0.6000000000000001,1.0,0.2591986383078364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4198882317140216,0.6666666666666666,0.7516014238075186
0.5,1.0,0.0,0.3,0.0,0.0844151120669252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0279177266624582,0.5333333333333333,0.7266169268309626
0.5,1.0,0.0,0.2,1.0,0.1584708705221003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3862983281282712,0.4666666666666667,0.8802395085908012
