populacao,num_juizes,casos_recebidos,tipo_caso,taxa_crescimento_populacao,taxa_criminalidade,tempo_casos,nivel_automacao,congestionamento,advogados,urbanizacao,nivel_educacao,habitantes_por_juiz,idh,casos_pendentes,idade_juizes_18-29,idade_juizes_30-39,idade_juizes_40-49,idade_juizes_50-59,idade_juizes_60-69,idade_juizes_70-79,idade_juizes_80-89
234400.04539775095,7.0,338,2,0.872253486747965,1.0,5.0,4.0,2,18.0,1,0.8647287348513406,27199.85714285714,1.0,1425,0,0,1,0,0,0,0
175281.0,20.0,488,2,0.5468423476775026,0.6984862095638424,15.0,6.0,3,98.0,0,0.8024915925008139,8764.05,0.8263108319754979,1655,0,0,0,1,0,0,0
209515.0,15.0,322,1,1.0,1.0,14.0,3.0,1,12.0,1,0.6065027294838597,13967.666666666666,0.9383517160423164,1475,0,1,0,0,0,0,0
45029.0,11.0,424,1,1.0,0.741960773792559,9.0,8.0,3,91.0,3,1.0,4093.545454545456,0.741960773792559,1189,0,0,1,0,0,0,0
490829.0,8.0,484,1,0.7969368296768282,0.6526693318205332,20.0,4.0,3,24.0,0,1.0,61353.625,0.7542009169821191,1389,0,0,1,0,0,0,0
240515.0,7.0,173,0,0.0,0.6049292861599235,5.0,2.0,1,97.0,1,0.7633410648642908,34359.28571428572,0.9865998185920688,981,0,0,0,1,0,0,0
218069.0,19.0,455,2,1.0,0.8778389681323234,15.0,4.0,3,79.0,0,0.4232825732378769,11477.315789473683,0.5894802547512618,1485,0,1,0,0,0,0,0
394315.0,11.0,413,2,0.3729889795629476,0.2379056286841977,9.0,8.0,0,43.0,3,0.5750896713280628,35846.818181818184,0.3389559745667553,872,0,0,0,1,0,0,0
144456.0,11.0,676,1,0.9149017691530544,0.7628706798683904,4.0,10.0,1,32.0,3,0.2462302118871834,13132.363636363636,0.4285349012354549,2042,0,0,0,1,0,0,0
354703.0,4.0,346,1,1.0,1.0,21.0,7.0,0,81.0,3,0.9530382171685464,88675.75,1.0,1936,0,0,0,1,0,0,0
357036.0,8.0,401,1,0.143637745953545,0.0,21.0,0.0,1,99.0,0,0.9190965823155834,44629.5,0.2857876006311604,497,0,1,0,0,0,0,0
38635.0,3.0,670,1,1.0,1.0,4.0,4.0,0,47.0,0,0.6130156214622926,12878.333333333334,0.8709466423713068,2411,0,0,0,1,0,0,0
272471.0,12.0,653,1,0.6705875209557561,0.740981513541102,21.0,9.0,1,35.0,3,0.9120103714744668,22705.916666666668,0.8616929388004573,2122,0,0,1,0,0,0,0
412688.0,6.0,549,0,0.1235227282831311,0.5268047086076528,22.0,10.0,0,77.0,1,0.5971362798031368,68781.33333333333,0.7636114843676556,1899,0,0,1,0,0,0,0
63783.0,2.0,455,1,0.955619139558686,0.5081232495686889,7.0,1.0,3,9.0,3,0.7872055088616025,31891.5,0.4239164342201471,965,0,0,1,0,0,0,0
88741.0,12.0,172,1,0.9423702815879405,0.4595603120935206,22.0,8.0,3,65.0,0,0.8308644432836554,7395.083333333333,0.5414591264621929,260,0,0,1,0,0,0,0
399193.0,12.0,753,2,0.8611445072243236,0.5565991584325269,17.0,3.0,2,59.0,2,0.5778211268560425,33266.083333333336,0.5693428968485628,2234,0,0,0,1,0,0,0
474718.0,17.0,186,2,0.5709607152375235,0.5659126910393033,18.0,2.0,0,98.0,0,0.7710052266558278,27924.58823529412,0.3490023836092998,59,0,0,0,0,0,1,0
178725.0,16.0,544,1,0.6953096044319713,0.3111545724973716,19.0,1.0,3,89.0,0,0.2824512812489503,11170.3125,0.559671977350236,1814,0,0,1,0,0,0,0
260636.0,15.0,644,1,0.2318225487045825,0.5471631860563688,10.0,8.0,1,86.0,0,0.7853439957000281,17375.733333333334,0.7523390149008827,2026,0,0,1,0,0,0,0
201541.0,15.0,397,2,1.0,0.9184463367257608,13.0,10.0,3,10.0,3,0.1500408403024953,13436.066666666668,0.4199773520853594,1264,0,0,0,1,0,0,0
284136.0,19.0,486,1,1.0,0.8596670170508688,2.0,9.0,3,90.0,0,0.8260362675364324,14954.526315789471,0.4492425518669348,1069,0,0,0,1,0,0,0
378627.0,12.0,92,0,0.2338931604789518,0.4619035121735876,22.0,10.0,1,19.0,1,0.5179863886179749,31552.25,0.4958123071436581,186,0,0,1,0,0,0,0
413729.0,20.0,586,2,0.9009372149389394,0.4866930255681883,20.0,10.0,3,50.0,1,0.9824991721676564,20686.45,0.7995850890622485,1776,0,0,1,0,0,0,0
89754.0,3.0,229,0,0.0,0.2368191128346707,11.0,1.0,0,4.0,1,0.8324171772963681,29918.0,0.8709120687224644,923,0,0,1,0,0,0,0
191050.0,5.0,841,2,0.6697995925988569,0.6432352992778487,5.0,10.0,3,5.0,1,0.6323594602451184,38210.0,0.6423760712366915,2567,0,0,0,1,0,0,0
117592.0,19.0,896,1,0.3271052000837198,0.6182560801161403,6.0,9.0,0,29.0,3,0.7475305648636258,6189.052631578948,1.0,3194,0,0,1,0,0,0,0
386687.0,7.0,310,2,1.0,0.8261963411141324,3.0,2.0,1,5.0,0,1.0,55241.0,0.9248894638500864,1122,0,0,1,0,0,0,0
73169.0,9.0,443,1,0.4154225147109674,0.8411431010475546,1.0,6.0,2,60.0,0,0.999163386495734,8129.888888888889,0.8104939701888657,1351,0,0,0,1,0,0,0
471503.0,7.0,249,0,0.147392336305129,0.498585632002651,3.0,1.0,1,65.0,0,0.7993917955818974,67357.57142857143,0.7901757814116879,887,0,0,0,1,0,0,0
84745.0,18.0,190,1,0.2800878853398316,0.4509562196109145,3.0,0.0,3,28.0,3,0.0367581913952445,4708.055555555556,0.6413383715148274,1061,0,0,0,1,0,0,0
140168.0,4.0,617,1,0.0,0.3904798836207391,22.0,8.0,0,83.0,3,0.7309808399756594,35042.0,0.440122248914123,1517,0,0,1,0,0,0,0
143985.0,14.0,435,1,0.2238723140334493,0.7348954328339299,4.0,5.0,0,1.0,1,0.9024870511617976,10284.642857142857,0.6792267018667041,1202,0,1,0,0,0,0,0
297687.0,18.0,792,1,0.077770336151508,0.1135169970020472,7.0,8.0,1,29.0,3,0.2903214882928199,16538.166666666668,0.3752225392576178,2275,0,0,0,1,0,0,0
217464.0,9.0,819,1,0.1912327112884502,0.3235995319300304,15.0,2.0,3,51.0,0,0.506563733111149,24162.666666666668,0.419130163302659,2260,0,0,0,1,0,0,0
51067.0,2.0,224,1,0.26028635987471,0.3602049750485629,11.0,2.0,3,36.0,3,0.8060185745778625,25533.5,0.511693285526006,389,0,0,1,0,0,0,0
81033.0,20.0,457,1,1.0,0.6658482967470845,18.0,9.0,1,32.0,3,0.328281936637547,4051.65,0.5837288095189965,1556,0,0,0,1,0,0,0
75256.0,15.0,612,0,0.7348306919418905,0.47609934420802,12.0,2.0,0,64.0,0,0.0689114854511829,5017.066666666667,0.2431008639630162,1703,0,0,0,1,0,0,0
251705.0,7.0,365,1,0.1015618662493725,0.4703687743249093,4.0,1.0,3,14.0,1,0.0,35957.857142857145,0.4222191891769827,1285,0,0,1,0,0,0,0
269455.0,12.0,628,0,0.5298138412538059,0.4735520418643277,11.0,10.0,3,32.0,3,0.034150935659913,22454.58333333333,0.224984724618273,1750,0,0,0,1,0,0,0
230417.0,8.0,958,1,0.1495415357215645,0.496989957037765,6.0,5.0,1,9.0,2,0.6341178985728225,28802.125,0.3646551071911231,2499,0,1,0,0,0,0,0
58992.0,3.0,274,1,0.2801305699488263,0.3479745417627297,18.0,4.0,0,11.0,1,0.0849802871106693,19664.0,0.702172559940798,1366,0,0,0,1,0,0,0
402119.0,4.0,425,0,0.0,0.6596824163854633,17.0,9.0,3,4.0,1,0.0902224706096668,100529.75,0.6924646440851493,1438,0,0,0,1,0,0,0
224549.0,18.0,198,1,0.7085718609179292,0.6992217015136812,1.0,2.0,1,41.0,3,0.4139397981227608,12474.944444444443,0.6087005967139605,1120,0,1,0,0,0,0,0
174282.0,8.0,414,1,0.2273733248750064,0.5183037275649418,2.0,2.0,3,25.0,3,0.5990606515536546,21785.25,0.8325380950328302,1400,0,0,1,0,0,0,0
56270.0,4.0,531,1,0.2566688497370994,0.7756878336488655,19.0,0.0,1,17.0,0,0.3299704770636699,14067.5,0.6076093018383555,1947,0,0,1,0,0,0,0
92008.0,2.0,669,1,0.8596462340795846,0.8315538146923722,9.0,5.0,0,47.0,1,0.2074807608438394,46004.0,0.6677357611970818,2227,0,0,0,1,0,0,0
428413.0,6.0,120,1,0.0,0.5330077692560029,8.0,2.0,2,8.0,0,0.0,71402.16666666667,0.3622218834609578,762,0,0,0,1,0,0,0
