codigo_tribunal,populacao,num_juizes,casos_recebidos,tipo_caso,taxa_crescimento_populacao,taxa_criminalidade,tempo_casos,nivel_automacao,congestionamento,advogados,urbanizacao,nivel_educacao,habitantes_por_juiz,idh,idade_juizes,casos_pendentes
2978G,,7.0,338.4052345967664,trabalhista,0.872253486747965,1.0,5.0,4.0,,18.0,baixo,0.8647287348513406,27199.85714285714,1.0,45.0,1425.8969423490644
6959G,175281.0,20.0,488.0157208367223,trabalhista,0.5468423476775026,0.6984862095638424,15.0,,medio,98.0,alto,0.8024915925008139,8764.05,0.8263108319754979,57.0,1655.6447160978037
3766A,209515.0,15.0,322.87379841057395,criminal,1.0,1.0,14.0,3.0,baixo,12.0,baixo,0.6065027294838597,13967.666666666666,0.9383517160423165,35.0,1475.2719221823018
3637B,45029.0,11.0,424.0893199201458,criminal,1.0,0.741960773792559,9.0,8.0,medio,91.0,medio,1.0,4093.5454545454554,0.741960773792559,48.0,1189.2091204492758
8725F,490829.0,8.0,484.75579901499674,criminal,0.7969368296768282,0.6526693318205332,20.0,4.0,medio,24.0,alto,1.0,61353.625,0.7542009169821191,,1389.568772518169
2634E,240515.0,7.0,173.2722120123589,civil,0.0,0.6049292861599235,5.0,2.0,baixo,97.0,baixo,0.7633410648642908,34359.28571428572,0.9865998185920688,56.0,981.2105652769619
2837F,218069.0,19.0,455.00884175255896,trabalhista,1.0,0.8778389681323234,15.0,4.0,medio,79.0,alto,0.4232825732378769,11477.315789473683,0.5894802547512618,39.0,1485.784977456162
9148C,394315.0,11.0,413.8642791702302,trabalhista,0.3729889795629476,0.23790562868419773,9.0,8.0,alto,43.0,medio,0.5750896713280628,35846.818181818184,0.3389559745667553,57.0,872.7095458647764
7865F,144456.0,11.0,676.6781148206442,criminal,0.9149017691530544,0.7628706798683904,4.0,10.0,baixo,32.0,medio,0.24623021188718341,13132.363636363636,0.42853490123545496,56.0,2042.1640373997275
4340E,354703.0,4.0,346.05985019383724,criminal,1.0,1.0,21.0,7.0,alto,81.0,medio,0.9530382171685464,88675.75,1.0,55.0,1936.1724021091077
2037A,357036.0,8.0,401.4043571160878,criminal,0.143637745953545,0.0,21.0,0.0,baixo,99.0,alto,0.9190965823155834,44629.5,0.28578760063116043,39.0,497.57203555831643
2021E,38635.0,3.0,670.4273506962975,criminal,1.0,1.0,4.0,4.0,alto,47.0,alto,0.6130156214622926,12878.333333333334,0.8709466423713068,59.0,2411.940299549133
5307G,63065.0,2.0,307.10377251469936,criminal,0.5204778704745197,0.45850388486048554,20.0,5.0,alto,,medio,0.7975507913546855,31532.5,0.5970403453005685,37.0,772.7087419789366
1251A,272471.0,12.0,653.1675016492828,criminal,0.6705875209557561,0.740981513541102,21.0,9.0,baixo,35.0,medio,0.9120103714744668,22705.916666666668,0.8616929388004573,43.0,2122.034134542684
8374C,412688.0,6.0,549.3863232745425,civil,0.12352272828313113,0.5268047086076528,22.0,10.0,alto,77.0,baixo,0.5971362798031368,68781.33333333333,0.7636114843676556,,1899.7239865227584
3169B,63783.0,2.0,455.36743273742667,criminal,0.955619139558686,0.5081232495686889,7.0,1.0,medio,9.0,medio,0.7872055088616025,31891.5,0.42391643422014713,45.0,965.5728178962988
1023B,64152.0,1.0,878.4079073157607,criminal,,,15.0,5.0,baixo,10.0,baixo,1.0,64152.0,0.48837517129955044,52.0,2171.786478896607
5283C,88741.0,12.0,172.4841736234199,criminal,0.9423702815879405,0.45956031209352066,22.0,8.0,medio,65.0,alto,0.8308644432836554,7395.083333333333,0.5414591264621929,44.0,260.4928781008076
6298G,399193.0,12.0,753.3067701650901,trabalhista,0.8611445072243236,0.5565991584325269,17.0,3.0,invalido,59.0,desconhecido,0.5778211268560425,33266.083333333336,0.5693428968485628,57.0,2234.5688106260827
8662B,474718.0,17.0,186.59042606982752,trabalhista,0.5709607152375235,0.5659126910393033,18.0,2.0,alto,98.0,alto,0.7710052266558278,27924.58823529412,0.34900238360929986,80.0,59.02093363156155
3528A,59092.0,10.0,242.70101841659212,civil,,,7.0,8.0,baixo,57.0,medio,0.11835527151425229,5909.2,0.4904295474612037,58.0,928.9809228058928
7861F,178725.0,16.0,544.3618595440361,criminal,0.6953096044319713,0.3111545724973716,19.0,1.0,medio,89.0,alto,0.28245128124895036,11170.3125,0.559671977350236,43.0,1814.7550837207493
6877C,260636.0,15.0,644.4436198859505,criminal,0.23182254870458252,0.5471631860563688,10.0,8.0,baixo,86.0,alto,0.7853439957000281,17375.733333333334,0.7523390149008827,47.0,2026.8313852341546
2456G,201541.0,15.0,397.7834979593558,trabalhista,1.0,0.9184463367257609,13.0,10.0,medio,10.0,medio,0.15004084030249532,13436.066666666668,0.4199773520853594,56.0,1264.785891779235
